"stateFlagCode","state","HappiestStates_TotalHappinessScore_num_2024","HappiestStates_EmotionalAndPhysicalWellBeingRank_num_2024","HappiestStates_WorkEnvironmentRank_num_2024","HappiestStates_CommunityAndEnvironmentRank_num_2024"
,"Hawaii",68.71,1,31,3
,"Maryland",64.67,3,10,6
,"New Jersey",62.46,2,32,33
,"Utah",62.2,27,1,1
,"Delaware",60.43,10,27,4
,"Minnesota",60.43,12,4,8
,"Connecticut",60.14,6,16,21
,"Idaho",58.84,30,3,2
,"Nebraska",58.6,11,7,28
,"Massachusetts",58.24,4,5,45
,"South Carolina",57.68,15,14,10
,"South Dakota",57.62,13,12,19
,"California",55.63,9,45,13
,"Florida",55.38,5,21,47
,"New Hampshire",55.38,20,9,22
,"Virginia",55.29,14,15,32
,"Illinois",54.39,8,34,39
,"Kansas",54.23,25,22,9
,"Iowa",54.22,18,30,11
,"Georgia",53.84,18,20,30
,"Wisconsin",53.23,21,17,31
,"Pennsylvania",53.18,22,19,29
,"New York",52.46,7,42,46
,"North Carolina",52.34,17,25,37
,"Arizona",52.13,26,28,14
,"Maine",51.56,32,13,17
,"North Dakota",51.35,26,11,41
,"Washington",51.11,24,38,18
,"Rhode Island",50.77,16,8,50
,"Vermont",50.45,34,2,38
,"Michigan",49.66,31,23,27
,"Missouri",48.3,37,18,26
,"Montana",48.12,43,6,12
,"Wyoming",47.07,39,37,15
,"Colorado",46.29,29,26,48
,"Indiana",45.92,38,41,23
,"Nevada",45.88,36,44,20
,"Texas",45.56,23,39,49
,"Oregon",44.95,35,29,43
,"Ohio",43.55,40,35,36
,"Kentucky",42.88,44,46,16
,"Mississippi",41.83,41,40,35
,"Oklahoma",41.74,48,36,5
,"Alabama",41.67,42,33,42
,"Alaska",41.44,33,48,44
,"New Mexico",40.82,45,47,24
,"Tennessee",40.32,46,24,34
,"West Virginia",38.09,47,50,7
,"Arkansas",37.09,50,43,25
,"Louisiana",32.97,49,49,40