"stateFlagCode","state","HealthCareCostsSpendingPerCapita2020KFF","Cost-ProhibitedCare","HealthCareCostsSpendingPerCapita2020Forbes"
,"New York",14007,35,13012
,"Alaska",13642,35.8,13188
,"Massachusetts",13319,18.2,12754
,"Delaware",12899,28.1,12294
,"West Virginia",12769,39.5,12019
,"Vermont",12756,35.5,12237
,"South Dakota",12495,47.1,11736
,"Connecticut",12489,21.3,11899
,"Maine",12077,37.4,11505
,"New Jersey",11868,31.1,11266
,"New Hampshire",11793,51.7,11359
,"Rhode Island",11694,54,11049
,"Pennsylvania",11603,32.8,11229
,"North Dakota",11301,47.1,10741
,"Wyoming",10989,64.7,10296
,"Minnesota",10846,46.9,10510
,"Maryland",10839,27.2,10340
,"Indiana",10517,35.2,9914
,"Louisiana",10515,32,9796
,"Nebraska",10514,33.1,9974
,"Ohio",10478,36.3,10093
,"California",10299,33.3,9665
,"Hawaii",10291,29.8,9593
,"Kentucky",10257,36.2,9778
,"Montana",10212,40.8,9791
,"Illinois",10190,42.8,9601
,"Oregon",10071,32.4,9625
,"Wisconsin",9982,44,9626
,"Missouri",9921,42.9,9461
,"Michigan",9897,36.5,9524
,"Florida",9856,51.9,9501
,"Iowa",9789,39.6,9265
,"Oklahoma",9444,47.3,8997
,"Kansas",9408,44.7,8845
,"Mississippi",9394,44.3,8852
,"Arkansas",9338,44.6,8912
,"Tennessee",9336,59.4,8909
,"Alabama",9280,45.2,8788
,"Washington",9265,38.7,8939
,"Virginia",9195,36.1,8815
,"North Carolina",8917,51.1,8607
,"New Mexico",8902,25.9,8505
,"South Carolina",8766,22.1,8362
,"Georgia",8758,39.9,8282
,"Arizona",8756,44.4,8239
,"Colorado",8583,53.1,8289
,"Texas",8406,44.4,8048
,"Nevada",8348,39.8,8118
,"Idaho",8148,52.7,7772
,"Utah",7522,45.9,7241
,"District of Columbia",,30.7,13934